"id","itemTime","trial.","kind","option","trainingMessage","color","scenario","qud","value","askedQuestion","bet","sentExpression","RT","language","comments","engagement","difficulty","passed.control","overall.control.score"
"AYVJH6361V",1500319836704,3,"training","multibet","probNot","red","nomatter","nomatter","nomatter","wh","dont","dots",8225,"English",NA,2,2,NA,4
"AYVJH6361V",1500319852465,4,"trial","nomatter","nomatter","white","dual","wh","5","dots","dots","prob",8308,"English",NA,2,2,NA,4
"AYVJH6361V",1500319856199,5,"trial","nomatter","nomatter","white","plural","wh","0","dots","dots","certNot",3732,"English",NA,2,2,1,4
"AYVJH6361V",1500319859549,6,"trial","nomatter","nomatter","white","plural","polar","5","dots","dots","prob",3347,"English",NA,2,2,NA,4
"AYVJH6361V",1500319862468,7,"trial","nomatter","nomatter","white","plural","polar","4","dots","dots","probNot",2916,"English",NA,2,2,NA,4
"AYVJH6361V",1500319865234,8,"trial","nomatter","nomatter","blue","plural","wh","10","dots","dots","cert",2764,"English",NA,2,2,1,4
"AYVJH6361V",1500319867852,9,"trial","nomatter","nomatter","white","dual","wh","0","dots","dots","certNot",2615,"English",NA,2,2,1,4
"AYVJH6361V",1500319870179,10,"trial","nomatter","nomatter","black","dual","polar","10","dots","dots","cert",2324,"English",NA,2,2,1,4
"AYVJH6361V",1500319872756,11,"trial","nomatter","nomatter","black","dual","wh","4","dots","dots","probNot",2574,"English",NA,2,2,NA,4
"AYVJH6361V",1500319875073,12,"trial","nomatter","nomatter","black","dual","polar","5","dots","dots","prob",2314,"English",NA,2,2,NA,4
"AYVJH6361V",1500319876769,13,"trial","nomatter","nomatter","black","dual","wh","3","dots","dots","probNot",1693,"English",NA,2,2,NA,4
"AYVJH6361V",1500319878922,14,"trial","nomatter","nomatter","red","plural","polar","3","dots","dots","probNot",2150,"English",NA,2,2,NA,4
"AYVJH6361V",1500319880860,15,"trial","nomatter","nomatter","red","plural","wh","4","dots","dots","probNot",1935,"English",NA,2,2,NA,4
"AYVJH6361V",1500319884143,16,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",3280,"English",NA,2,2,NA,4
"AYVJH6361V",1500319886613,17,"trial","nomatter","nomatter","black","plural","wh","5","dots","dots","prob",2467,"English",NA,2,2,NA,4
"AYVJH6361V",1500319888671,18,"trial","nomatter","nomatter","red","plural","wh","3","dots","dots","probNot",2057,"English",NA,2,2,NA,4
"AYVJH6361V",1500319890937,19,"trial","nomatter","nomatter","white","dual","polar","3","dots","dots","probNot",2263,"English",NA,2,2,NA,4
"DDTIH8759G",1500315711982,1,"training","singlebet","cert","black","nomatter","nomatter","nomatter","wh","black","dots",23476,"English",NA,10,0,NA,4
"DDTIH8759G",1500315736709,2,"training","multibet","probNot","black","nomatter","nomatter","nomatter","wh","dont","dots",24725,"English",NA,10,0,NA,4
"DDTIH8759G",1500315753418,3,"training","singlebet","certNot","red","nomatter","nomatter","nomatter","red","dont","dots",16708,"English",NA,10,0,NA,4
"DDTIH8759G",1500315782705,4,"trial","nomatter","nomatter","red","dual","wh","3","dots","dots","probNot",16214,"English",NA,10,0,NA,4
"DDTIH8759G",1500315795085,5,"trial","nomatter","nomatter","white","dual","wh","0","dots","dots","certNot",12376,"English",NA,10,0,1,4
"DDTIH8759G",1500315803651,6,"trial","nomatter","nomatter","white","plural","polar","3","dots","dots","probNot",8563,"English",NA,10,0,NA,4
"DDTIH8759G",1500315812043,7,"trial","nomatter","nomatter","white","dual","polar","5","dots","dots","prob",8390,"English",NA,10,0,NA,4
"DDTIH8759G",1500315818042,8,"trial","nomatter","nomatter","red","dual","wh","4","dots","dots","probNot",5996,"English",NA,10,0,NA,4
"DDTIH8759G",1500315826234,9,"trial","nomatter","nomatter","black","plural","wh","10","dots","dots","cert",8191,"English",NA,10,0,1,4
"DDTIH8759G",1500315830642,10,"trial","nomatter","nomatter","blue","dual","polar","3","dots","dots","probNot",4405,"English",NA,10,0,NA,4
"DDTIH8759G",1500315837524,11,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",6879,"English",NA,10,0,NA,4
"DDTIH8759G",1500315841850,12,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",4323,"English",NA,10,0,NA,4
"DDTIH8759G",1500315850687,13,"trial","nomatter","nomatter","blue","dual","wh","5","dots","dots","probNot",8834,"English",NA,10,0,NA,4
"DDTIH8759G",1500315858223,14,"trial","nomatter","nomatter","blue","plural","wh","5","dots","dots","prob",7532,"English",NA,10,0,NA,4
"DDTIH8759G",1500315863231,15,"trial","nomatter","nomatter","blue","plural","wh","4","dots","dots","probNot",5004,"English",NA,10,0,NA,4
"DDTIH8759G",1500315868415,16,"trial","nomatter","nomatter","white","plural","polar","10","dots","dots","cert",5181,"English",NA,10,0,1,4
"DDTIH8759G",1500315874043,17,"trial","nomatter","nomatter","red","plural","wh","3","dots","dots","probNot",5625,"English",NA,10,0,NA,4
"DDTIH8759G",1500315881001,18,"trial","nomatter","nomatter","white","plural","wh","0","dots","dots","certNot",6955,"English",NA,10,0,1,4
"DDTIH8759G",1500315885865,19,"trial","nomatter","nomatter","red","plural","polar","5","dots","dots","prob",4861,"English",NA,10,0,NA,4
"DOLIS9648A",1500316276564,1,"training","multibet","certNot","black","nomatter","nomatter","nomatter","wh","dont","dots",25909,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316290067,2,"training","singlebet","probNot","red","nomatter","nomatter","nomatter","wh","dont","dots",13500,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316309282,3,"training","multibet","prob","black","nomatter","nomatter","nomatter","wh","black","dots",19213,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316325938,4,"trial","nomatter","nomatter","black","plural","polar","3","dots","dots","probNot",13086,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316330217,5,"trial","nomatter","nomatter","blue","plural","polar","5","dots","dots","prob",4274,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316337489,6,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",7267,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316354513,7,"trial","nomatter","nomatter","white","dual","wh","5","dots","dots","prob",17018,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316367897,8,"trial","nomatter","nomatter","black","dual","polar","5","dots","dots","prob",13380,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316372225,9,"trial","nomatter","nomatter","red","dual","wh","3","dots","dots","probNot",4324,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316378273,10,"trial","nomatter","nomatter","black","dual","wh","0","dots","dots","certNot",6043,"English","Good HIT, great pay, very interesting, thanks!",10,0,1,4
"DOLIS9648A",1500316381961,11,"trial","nomatter","nomatter","black","dual","wh","0","dots","dots","certNot",3684,"English","Good HIT, great pay, very interesting, thanks!",10,0,1,4
"DOLIS9648A",1500316385049,12,"trial","nomatter","nomatter","blue","plural","wh","3","dots","dots","probNot",3083,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316388977,13,"trial","nomatter","nomatter","white","plural","wh","5","dots","dots","prob",3925,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316391913,14,"trial","nomatter","nomatter","blue","dual","wh","4","dots","dots","probNot",2932,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316395290,15,"trial","nomatter","nomatter","red","plural","wh","4","dots","dots","probNot",3373,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316400049,16,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",4755,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DOLIS9648A",1500316402793,17,"trial","nomatter","nomatter","blue","dual","wh","10","dots","dots","cert",2740,"English","Good HIT, great pay, very interesting, thanks!",10,0,1,4
"DOLIS9648A",1500316406712,18,"trial","nomatter","nomatter","red","dual","polar","10","dots","dots","cert",3916,"English","Good HIT, great pay, very interesting, thanks!",10,0,1,4
"DOLIS9648A",1500316410897,19,"trial","nomatter","nomatter","black","dual","polar","3","dots","dots","probNot",4181,"English","Good HIT, great pay, very interesting, thanks!",10,0,NA,4
"DUBHK7659E",1500315085040,1,"training","multibet","prob","red","nomatter","nomatter","nomatter","wh","red","dots",14471,"English",NA,10,5,NA,4
"DUBHK7659E",1500315096997,2,"training","singlebet","probNot","black","nomatter","nomatter","nomatter","black","dont","dots",11954,"English",NA,10,5,NA,4
"DUBHK7659E",1500315101346,3,"training","singlebet","cert","black","nomatter","nomatter","nomatter","black","black","dots",4346,"English",NA,10,5,NA,4
"DUBHK7659E",1500315116931,4,"trial","nomatter","nomatter","white","plural","wh","4","dots","dots","probNot",12515,"English",NA,10,5,NA,4
"DUBHK7659E",1500315123140,5,"trial","nomatter","nomatter","black","plural","wh","5","dots","dots","prob",6197,"English",NA,10,5,NA,4
"DUBHK7659E",1500315125516,6,"trial","nomatter","nomatter","white","plural","polar","0","dots","dots","certNot",2368,"English",NA,10,5,1,4
"DUBHK7659E",1500315128216,7,"trial","nomatter","nomatter","white","dual","polar","3","dots","dots","probNot",2689,"English",NA,10,5,NA,4
"DUBHK7659E",1500315130842,8,"trial","nomatter","nomatter","blue","plural","polar","5","dots","dots","prob",2615,"English",NA,10,5,NA,4
"DUBHK7659E",1500315132814,9,"trial","nomatter","nomatter","red","dual","wh","10","dots","dots","cert",1964,"English",NA,10,5,1,4
"DUBHK7659E",1500315134515,10,"trial","nomatter","nomatter","blue","plural","polar","10","dots","dots","cert",1689,"English",NA,10,5,1,4
"DUBHK7659E",1500315136501,11,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",1977,"English",NA,10,5,NA,4
"DUBHK7659E",1500315138735,12,"trial","nomatter","nomatter","black","dual","wh","5","dots","dots","prob",2226,"English",NA,10,5,NA,4
"DUBHK7659E",1500315141009,13,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",2266,"English",NA,10,5,NA,4
"DUBHK7659E",1500315142748,14,"trial","nomatter","nomatter","red","plural","wh","3","dots","dots","probNot",1733,"English",NA,10,5,NA,4
"DUBHK7659E",1500315144560,15,"trial","nomatter","nomatter","black","dual","polar","5","dots","dots","prob",1805,"English",NA,10,5,NA,4
"DUBHK7659E",1500315146257,16,"trial","nomatter","nomatter","blue","dual","wh","4","dots","dots","probNot",1690,"English",NA,10,5,NA,4
"DUBHK7659E",1500315147807,17,"trial","nomatter","nomatter","blue","dual","wh","3","dots","dots","probNot",1544,"English",NA,10,5,NA,4
"DUBHK7659E",1500315149496,18,"trial","nomatter","nomatter","blue","plural","polar","3","dots","dots","probNot",1685,"English",NA,10,5,NA,4
"DUBHK7659E",1500315150976,19,"trial","nomatter","nomatter","black","dual","wh","0","dots","dots","certNot",1476,"English",NA,10,5,1,4
"ESNLQ4996N",1500315509262,1,"training","singlebet","cert","red","nomatter","nomatter","nomatter","wh","red","dots",21639,"English",NA,10,3,NA,4
"ESNLQ4996N",1500315579468,2,"training","multibet","certNot","black","nomatter","nomatter","nomatter","wh","dont","dots",70203,"English",NA,10,3,NA,4
"ESNLQ4996N",1500315585044,3,"training","multibet","prob","black","nomatter","nomatter","nomatter","wh","black","dots",5575,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316168552,4,"trial","nomatter","nomatter","red","dual","polar","0","dots","dots","certNot",8374,"English",NA,10,3,1,4
"ESNLQ4996N",1500316182713,5,"trial","nomatter","nomatter","blue","plural","wh","4","dots","dots","probNot",14157,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316190319,6,"trial","nomatter","nomatter","red","dual","wh","5","dots","dots","prob",7601,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316194467,7,"trial","nomatter","nomatter","red","plural","polar","3","dots","dots","probNot",4144,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316198111,8,"trial","nomatter","nomatter","blue","plural","wh","5","dots","dots","prob",3638,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316201376,9,"trial","nomatter","nomatter","black","plural","polar","0","dots","dots","certNot",3262,"English",NA,10,3,1,4
"ESNLQ4996N",1500316205412,10,"trial","nomatter","nomatter","white","dual","polar","5","dots","dots","prob",4032,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316208441,11,"trial","nomatter","nomatter","red","dual","wh","3","dots","dots","probNot",3026,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316211181,12,"trial","nomatter","nomatter","white","dual","polar","3","dots","dots","probNot",2736,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316214292,13,"trial","nomatter","nomatter","white","plural","polar","5","dots","dots","prob",3108,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316216573,14,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",2277,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316219175,15,"trial","nomatter","nomatter","black","plural","wh","10","dots","dots","cert",2597,"English",NA,10,3,1,4
"ESNLQ4996N",1500316222773,16,"trial","nomatter","nomatter","blue","dual","polar","10","dots","dots","cert",3593,"English",NA,10,3,1,4
"ESNLQ4996N",1500316225849,17,"trial","nomatter","nomatter","white","plural","wh","3","dots","dots","probNot",3071,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316228227,18,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",2374,"English",NA,10,3,NA,4
"ESNLQ4996N",1500316230899,19,"trial","nomatter","nomatter","white","dual","wh","4","dots","dots","probNot",2668,"English",NA,10,3,NA,4
"EYNJG3809A",1500315396437,1,"training","multibet","prob","red","nomatter","nomatter","nomatter","wh","red","dots",22786,"English",NA,9,1,NA,4
"EYNJG3809A",1500315407811,2,"training","singlebet","cert","black","nomatter","nomatter","nomatter","black","black","dots",11368,"English",NA,9,1,NA,4
"EYNJG3809A",1500315421499,3,"training","singlebet","certNot","red","nomatter","nomatter","nomatter","red","dont","dots",13684,"English",NA,9,1,NA,4
"EYNJG3809A",1500315447025,4,"trial","nomatter","nomatter","white","plural","wh","4","dots","dots","probNot",20208,"English",NA,9,1,NA,4
"EYNJG3809A",1500315456729,5,"trial","nomatter","nomatter","blue","dual","polar","4","dots","dots","probNot",9696,"English",NA,9,1,NA,4
"EYNJG3809A",1500315463449,6,"trial","nomatter","nomatter","red","plural","wh","3","dots","dots","probNot",6712,"English",NA,9,1,NA,4
"EYNJG3809A",1500315468873,7,"trial","nomatter","nomatter","red","plural","polar","5","dots","dots","prob",5417,"English",NA,9,1,NA,4
"EYNJG3809A",1500315472713,8,"trial","nomatter","nomatter","white","plural","polar","0","dots","dots","certNot",3835,"English",NA,9,1,1,4
"EYNJG3809A",1500315483241,9,"trial","nomatter","nomatter","red","dual","wh","3","dots","dots","probNot",10523,"English",NA,9,1,NA,4
"EYNJG3809A",1500315489209,10,"trial","nomatter","nomatter","red","plural","polar","4","dots","dots","probNot",5963,"English",NA,9,1,NA,4
"EYNJG3809A",1500315493873,11,"trial","nomatter","nomatter","red","dual","polar","5","dots","dots","prob",4659,"English",NA,9,1,NA,4
"EYNJG3809A",1500315497313,12,"trial","nomatter","nomatter","blue","plural","polar","0","dots","dots","certNot",3433,"English",NA,9,1,1,4
"EYNJG3809A",1500315499721,13,"trial","nomatter","nomatter","red","plural","polar","3","dots","dots","probNot",2403,"English",NA,9,1,NA,4
"EYNJG3809A",1500315502105,14,"trial","nomatter","nomatter","blue","dual","polar","3","dots","dots","probNot",2377,"English",NA,9,1,NA,4
"EYNJG3809A",1500315505529,15,"trial","nomatter","nomatter","black","plural","wh","5","dots","dots","prob",3417,"English",NA,9,1,NA,4
"EYNJG3809A",1500315510289,16,"trial","nomatter","nomatter","black","dual","wh","4","dots","dots","probNot",4754,"English",NA,9,1,NA,4
"EYNJG3809A",1500315513377,17,"trial","nomatter","nomatter","blue","plural","polar","10","dots","dots","cert",3082,"English",NA,9,1,1,4
"EYNJG3809A",1500315520169,18,"trial","nomatter","nomatter","white","dual","wh","5","dots","dots","prob",6788,"English",NA,9,1,NA,4
"EYNJG3809A",1500315522649,19,"trial","nomatter","nomatter","blue","dual","wh","10","dots","dots","cert",2476,"English",NA,9,1,1,4
"FKEZB3267M",1500315404279,1,"training","singlebet","probNot","black","nomatter","nomatter","nomatter","wh","dont","dots",19461,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315415231,2,"training","multibet","cert","red","nomatter","nomatter","nomatter","wh","red","dots",10951,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315427270,3,"training","singlebet","prob","red","nomatter","nomatter","nomatter","red","red","dots",12039,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315444180,4,"trial","nomatter","nomatter","blue","dual","wh","3","dots","dots","probNot",9814,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315451462,5,"trial","nomatter","nomatter","white","plural","polar","10","dots","dots","cert",7282,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,1,4
"FKEZB3267M",1500315459742,6,"trial","nomatter","nomatter","blue","plural","wh","5","dots","dots","prob",8279,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315465478,7,"trial","nomatter","nomatter","white","dual","polar","0","dots","dots","certNot",5734,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,1,4
"FKEZB3267M",1500315480168,8,"trial","nomatter","nomatter","blue","dual","wh","5","dots","dots","prob",14689,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315486869,9,"trial","nomatter","nomatter","black","dual","polar","3","dots","dots","probNot",6701,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315495701,10,"trial","nomatter","nomatter","black","plural","wh","4","dots","dots","probNot",8832,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315501868,11,"trial","nomatter","nomatter","white","dual","wh","4","dots","dots","probNot",6166,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315507782,12,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",5914,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315514677,13,"trial","nomatter","nomatter","black","plural","polar","3","dots","dots","probNot",6895,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315518932,14,"trial","nomatter","nomatter","blue","dual","polar","10","dots","dots","cert",4254,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,1,4
"FKEZB3267M",1500315525069,15,"trial","nomatter","nomatter","red","plural","polar","5","dots","dots","prob",6135,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315528741,16,"trial","nomatter","nomatter","white","dual","polar","0","dots","dots","certNot",3670,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,1,4
"FKEZB3267M",1500315534661,17,"trial","nomatter","nomatter","red","plural","wh","3","dots","dots","probNot",5919,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315539346,18,"trial","nomatter","nomatter","red","dual","polar","4","dots","dots","probNot",4684,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FKEZB3267M",1500315544789,19,"trial","nomatter","nomatter","blue","dual","polar","5","dots","dots","prob",5443,"English","I wish more options were available beyond ""Probably,"" and ""Probably Not"" in the case where the chances of drawing the correct colored ball were 50%.",10,0,NA,4
"FLJXW6654G",1500320595334,1,"training","singlebet","prob","red","nomatter","nomatter","nomatter","red","red","dots",28658,"English","no",9,2,NA,4
"FLJXW6654G",1500320607640,2,"training","singlebet","certNot","red","nomatter","nomatter","nomatter","wh","dont","dots",12305,"English","no",9,2,NA,4
"FLJXW6654G",1500320630169,3,"training","multibet","probNot","black","nomatter","nomatter","nomatter","wh","dont","dots",22528,"English","no",9,2,NA,4
"FLJXW6654G",1500320665150,4,"trial","nomatter","nomatter","black","plural","wh","3","dots","dots","probNot",19568,"English","no",9,2,NA,4
"FLJXW6654G",1500320675369,5,"trial","nomatter","nomatter","red","plural","wh","4","dots","dots","probNot",10216,"English","no",9,2,NA,4
"FLJXW6654G",1500320683129,6,"trial","nomatter","nomatter","blue","plural","polar","0","dots","dots","certNot",7758,"English","no",9,2,1,4
"FLJXW6654G",1500320690450,7,"trial","nomatter","nomatter","red","dual","wh","4","dots","dots","probNot",7319,"English","no",9,2,NA,4
"FLJXW6654G",1500320695900,8,"trial","nomatter","nomatter","blue","plural","polar","4","dots","dots","probNot",5448,"English","no",9,2,NA,4
"FLJXW6654G",1500320706925,9,"trial","nomatter","nomatter","white","plural","polar","5","dots","dots","prob",11023,"English","no",9,2,NA,4
"FLJXW6654G",1500320716854,10,"trial","nomatter","nomatter","white","plural","wh","5","dots","dots","prob",9927,"English","no",9,2,NA,4
"FLJXW6654G",1500320726342,11,"trial","nomatter","nomatter","white","dual","wh","5","dots","dots","prob",9485,"English","no",9,2,NA,4
"FLJXW6654G",1500320730336,12,"trial","nomatter","nomatter","blue","dual","wh","3","dots","dots","probNot",3993,"English","no",9,2,NA,4
"FLJXW6654G",1500320733051,13,"trial","nomatter","nomatter","blue","dual","wh","10","dots","dots","cert",2713,"English","no",9,2,1,4
"FLJXW6654G",1500320736507,14,"trial","nomatter","nomatter","blue","plural","polar","3","dots","dots","probNot",3455,"English","no",9,2,NA,4
"FLJXW6654G",1500320740044,15,"trial","nomatter","nomatter","red","plural","wh","0","dots","dots","certNot",3536,"English","no",9,2,1,4
"FLJXW6654G",1500320743070,16,"trial","nomatter","nomatter","black","dual","polar","10","dots","dots","cert",3024,"English","no",9,2,1,4
"FLJXW6654G",1500320746185,17,"trial","nomatter","nomatter","white","dual","polar","4","dots","dots","probNot",3114,"English","no",9,2,NA,4
"FLJXW6654G",1500320749554,18,"trial","nomatter","nomatter","black","dual","polar","3","dots","dots","probNot",3367,"English","no",9,2,NA,4
"FLJXW6654G",1500320754628,19,"trial","nomatter","nomatter","black","dual","polar","5","dots","dots","prob",5072,"English","no",9,2,NA,4
"GPQAD0613W",1500315561468,1,"training","multibet","probNot","red","nomatter","nomatter","nomatter","wh","blue","dots",37689,"English",NA,8,3,NA,4
"GPQAD0613W",1500315577111,2,"training","singlebet","certNot","red","nomatter","nomatter","nomatter","wh","dont","dots",15627,"English",NA,8,3,NA,4
"GPQAD0613W",1500315589552,3,"training","singlebet","prob","red","nomatter","nomatter","nomatter","red","red","dots",12429,"English",NA,8,3,NA,4
"GPQAD0613W",1500315610165,4,"trial","nomatter","nomatter","black","plural","polar","0","dots","dots","certNot",9725,"English",NA,8,3,1,4
"GPQAD0613W",1500315618610,5,"trial","nomatter","nomatter","white","plural","polar","3","dots","dots","prob",8432,"English",NA,8,3,NA,4
"GPQAD0613W",1500315625155,6,"trial","nomatter","nomatter","red","plural","wh","5","dots","dots","prob",6523,"English",NA,8,3,NA,4
"GPQAD0613W",1500315628900,7,"trial","nomatter","nomatter","black","dual","wh","10","dots","dots","cert",3726,"English",NA,8,3,1,4
"GPQAD0613W",1500315632939,8,"trial","nomatter","nomatter","white","plural","polar","10","dots","dots","cert",4025,"English",NA,8,3,1,4
